Driver 0 F1 0.6695278969957081, Acc 0.7433333333333333, AUC 0.7433333333333334
Driver 1 F1 0.2456140350877193, Acc 0.14, AUC 0.14
Driver 2 F1 0.5270758122743683, Acc 0.5633333333333334, AUC 0.5633333333333334
Driver 3 F1 0.14953271028037382, Acc 0.3933333333333333, AUC 0.3933333333333333
Driver 4 F1 0.538083538083538, Acc 0.37333333333333335, AUC 0.37333333333333335
Driver 5 F1 0.16586921850079744, Acc 0.12833333333333333, AUC 0.12833333333333335
Driver 6 F1 0.5507246376811593, Acc 0.48333333333333334, AUC 0.48333333333333334
Driver 7 F1 0.6749435665914222, Acc 0.52, AUC 0.52
Driver 8 F1 0.6096997690531177, Acc 0.7183333333333334, AUC 0.7183333333333334
Driver 9 F1 0.6728682170542636, Acc 0.6483333333333333, AUC 0.6483333333333332
Driver 10 F1 0.6764705882352942, Acc 0.5233333333333333, AUC 0.5233333333333333
Driver 11 F1 0.06408094435075885, Acc 0.075, AUC 0.075
kneighborsclassifier-0.4425-roc-2025-01-21-14-17-21-weights_uniform.png
